,Bin,Ei,Oi,,Test Statistic 
116,"(11, 1)",0.22,0.142857143,0.027050093,
117,"(9, 11)",1.793417843,2,0.023796009,
118,"(6, 12)",1.291699658,0,1.291699658,
119,"(5, 4)",0.3881592,0.5,0.032224831,
120,"(8, 6)",0.913260953,0.727272727,0.037877038,
121,"(11, 10)",2.012199124,2,7.39582E-05,
122,"(5, 9)",0.831261189,0,0.831261189,
123,"(5, 5)",0.480396016,0.4,0.013454565,
124,"(3, 8)",0.447710932,0,0.447710932,
125,"(3, 6)",0.342472857,0,0.342472857,
126,"(7, 8)",1.044658842,0.666666667,0.136770091,
127,"(6, 8)",0.895421865,0,0.895421865,
128,"(9, 9)",1.496270141,1.25,0.040533444,
129,"(9, 8)",1.343132797,1.333333333,7.14966E-05,
130,"(14, 7)",1.846242535,2.375,0.151434306,
131,"(6, 7)",0.791246801,0.5,0.107203844,
132,"(4, 8)",0.59694791,0,0.59694791,
133,"(10, 10)",1.829271931,1.6,0.028735814,
134,"(4, 3)",0.235232,0,0.235232,
135,"(8, 10)",1.463417545,1.5,0.000914487,
136,"(6, 9)",0.997513427,1,6.19846E-06,
137,"(5, 10)",0.914635966,1,0.007967124,
138,"(1, 2)",0.0396,0,0.0396,
139,"(1, 1)",0.02,1,48.02,
140,"(0, 2)",0,0,0,
141,"(0, 1)",0,0,0,
142,"(2, 3)",0.117616,0,0.117616,
143,"(7, 10)",1.280490352,4,5.775703594,
144,"(3, 12)",0.645849829,0,0.645849829,
145,"(3, 10)",0.548781579,0,0.548781579,
146,"(8, 11)",1.594149194,2.5,0.514735814,
147,"(5, 7)",0.659372334,0.5,0.038520786,
148,"(5, 12)",1.076416381,1,0.005424911,
149,"(4, 7)",0.527497867,0,0.527497867,
